Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
6.4872227,17.284739,31.238575,3.4410238,17.487057,4.3816104,
3.2909684,0.80486935,42.696655,3.1911361,3.080401,1.4047716,
49.038033,6.24539,25.315353,2.8860216,13.729676,5.442991,
32.469322,33.551517,28.92434,7.432905,5.257302,8.986227,
0.74488306,14.802559,10.601598,1.4308287,5.190696,2.2484698,
14.004316,6.744904,12.829453,5.2337465,2.4646676,5.6242094,
12.106722,30.886377,2.4152615,0.9867025,15.802844,19.925074,
13.6050415,9.087698,99.74751,1.5922121,5.926806,1.9247637,
8.006437,20.62725,2.4228683,13.88913,10.840266,11.265582,
3.5714393,17.526628,3.6898649,15.346381,0.20186158,0.91328466,
7.436763,1.8681823,5.406309,2.1834347,6.989904,18.313433,
0.62521785,1.589599,40.504772,1.1540211,17.419077,1.7055607,
13.391301,2.8112075,23.967745,0.8036084,25.850613,1.9492464,
1.3236488,39.38356,11.352264,0.9096976,9.839351,4.669354,
3.093446,3.9095242,13.545681,5.3203225,6.884104,7.8215275,
31.399082,5.618409,8.511512,3.4539568,4.048418,22.688112,
3.8252056,0.71924525,36.457054,8.792086,7.8480477,11.091376,
6.9733095,12.467841,30.186428,2.4726741,30.854828,4.130339,
4.605094,39.31228,37.28173,3.2994995,7.5454555,1.1161339,
1.3320279,43.029037,10.016666,1.3411874,0.09363706,8.879914,
15.400984,1.0217667,3.7310574,2.3031569,4.46393,20.219233,
4.447679,1.8842711,4.7433267,5.2617745,9.398449,1.5611806,
6.045827,15.751464,2.8066642,4.1623487,1.8411922,31.470076,
16.682598,2.8602705,11.804314,0.70572764,4.8384686,1.9273213,
12.549942,30.955835,1.5231807,1.7609043,6.1234155,3.6345184,
3.2750025,7.692488,64.57659,2.9376006,4.5605974,0.8129366,
7.46421,21.09118,48.47674,5.1629534,1.6955523,0.21921065,
2.1471908,3.2587538,2.4094777,6.2933326,8.064231,10.50812,
5.421734,4.702204,4.58171,2.5286765,34.995667,0.21268529,
11.266808,51.396385,19.93712,4.667595,10.172858,0.27356562,
18.99076,19.773499,7.7093954,4.9102454,8.039347,16.413342,
1.1945689,4.3361588,8.697004,3.0312877,8.914733,3.0980291,
55.87066,6.6336064,41.009636,6.0246253,10.026943,23.278683,
1.7090558,11.3902855,3.2942622,8.297757,16.421768,5.1097445,
1.3533384,19.455238,19.777243,2.2746744,1.8014385,2.7511518,
3.111081,0.8000637,34.42067,4.677584,8.429278,3.8988004,
1.1835134,1.9077023,0.5012338,1.1906049,16.410784,0.39571074,
6.5812864,1.7299094,38.43643,5.3325434,11.153629,28.998957,
3.5754204,15.798793,18.70964,6.5155835,19.006779,7.254216,
3.1388535,5.3289056,6.635848,3.308883,0.065632515,12.583236,
35.902485,10.292078,22.55259,1.969959,1.7487309,19.439222,
0.96994483,52.08792,9.831611,14.352898,23.370628,3.083961,
3.7060566,6.7854385,7.2860804,3.5806775,8.076784,16.226255,
9.273592,19.892796,28.086514,1.6348429,10.459981,4.7376585,
4.885508,59.21618,35.321136,1.2735735,2.1563685,16.988846,
2.474687,2.9243112,10.071512,0.78520584,3.0832467,20.944204,
6.849056,0.8190998,11.197159,15.064068,8.131816,2.7450283,
4.7986684,50.190372,14.737299,1.1898351,13.394704,9.376671,
13.099042,7.1860547,5.498246,7.702007,4.682413,3.4909387,
29.565758,20.243904,12.951591,0.39579788,5.059688,5.9721365,
34.616966,8.315934,14.041363,2.0326889,6.9149065,11.045576,
25.140932,17.277477,22.755863,10.963704,1.726566,14.160093,
10.45068,17.917643,33.280205,5.540736,17.813393,17.755932,
3.156333,22.019247,42.318546,4.9298973,3.6176846,2.0712965,
0.32605028,20.247658,37.83459,3.7736657,19.807322,14.729243,
10.820837,25.073992,21.493677,0.6085,17.32382,20.113735,
0.97455686,33.58955,0.69746923,1.4327074,34.43207,25.379444,
11.297195,0.02329519,3.6111834,0.09167505,5.923653,0.06629728,
4.894107,9.757823,2.8909087,0.30792692,7.1782136,8.560838,
7.033886,8.388527,4.1057515,9.718197,5.141683,14.9452715,
2.4568431,15.645618,9.9744005,7.42832,15.216804,9.397181,
5.451148,17.795736,0.43004423,8.844759,3.7705219,1.8917491,
6.1627746,38.828857,1.1053416,0.41037837,10.747228,5.7679176,
3.3847857,7.5094934,15.742644,5.31382,1.3947642,3.0331004,
10.505377,24.098152,9.349472,2.6449828,5.236382,4.8987865,
11.923065,10.183139,44.252304,1.6432083,0.013077071,3.84747,
3.4536781,32.362503,18.50551,2.8349664,4.3476443,3.9074156,
11.786859,13.744887,12.244911,6.132878,1.6265439,12.080233,
2.1740422,37.048767,49.23621,3.971556,13.517455,11.3502,
10.838786,11.183983,4.7434287,2.584905,6.6120653,1.4439708,
38.284664,20.695316,18.245516,0.07376845,1.6960901,0.5392187,
38.282948,2.0817866,6.4413357,0.55643976,8.173274,27.85723,
9.825541,13.355358,1.6127244,0.80109686,0.5009665,2.3863192,
1.9592546,26.639622,5.6848807,4.065759,5.910383,2.5652518,
2.1942306,9.316639,14.057623,0.008895653,3.7031286,24.143415,
3.0376997,0.9644184,45.2797,5.9626083,5.142432,8.461157,
0.9502958,10.168162,1.433059,0.05859385,10.987981,7.4922256,
0.2945117,13.784496,56.02514,1.6553938,3.3885207,20.07056,
13.967924,15.580304,12.891212,2.7060318,6.4689736,0.23198579,
18.278534,3.4335864,5.4643207,7.0385056,18.681753,5.444522,
23.363466,1.6793795,1.7455717,5.540922,1.6734779,1.0111872,
6.0394077,14.92773,14.785412,13.745445,1.4823426,7.0296097,
6.1306643,21.83157,8.849135,5.1961794,10.9272375,3.686772,
23.621101,6.5727997,41.044147,7.8753185,0.5626158,7.071314,
9.782519,1.04162,1.0450602,4.5613394,3.6640031,1.6094515,
1.5208741,46.757893,9.574485,3.016471,8.966235,14.342739,
2.9729245,7.5145006,32.167313,3.3064766,4.6718407,25.12225,
1.3104424,9.5399475,8.563219,0.3795167,4.8899,0.97708774,
17.290133,46.434254,1.0195719,3.4451108,25.17171,9.433299,
10.668317,2.478165,18.192062,1.085222,11.456012,10.794558,
5.5015416,31.555325,4.351075,9.563805,13.871763,7.0890913,
33.366196,30.28054,1.0835993,3.7263577,3.9653053,9.712117,
4.0928855,7.725255,14.8340435,4.4078918,11.059558,29.506874,
8.533686,26.74268,19.737617,3.141029,6.5264196,16.566256,
10.300011,0.38329706,16.489834,5.0368423,1.6007421,3.9751115,
4.911949,14.717782,12.510918,3.2538779,12.153362,9.959707,
9.808225,40.015457,10.987632,1.2546338,17.09073,3.8759947,
2.0218265,6.376272,15.492943,7.4019685,9.047077,14.881079,
0.66305864,6.0845246,18.100475,10.266815,17.75234,12.838003,
17.550789,11.391128,51.906925,3.0470185,4.456827,2.5601351,
21.214079,34.81728,33.6734,2.6292372,1.1047086,46.695812,
1.802373,6.8189807,48.568287,0.24283254,45.483856,9.658004,
7.26691,21.03273,17.984432,13.3365345,2.0218585,13.603962,
2.8014908,24.367226,8.815081,0.2774384,13.886433,3.387139,
21.502947,18.17549,12.689068,9.64767,9.397338,8.84749,
18.676327,4.2977486,49.65954,3.975651,1.0176078,1.1668891,
23.829115,33.095936,6.434921,1.881165,21.939915,10.142462,
2.7771137,0.9978764,13.51356,5.780788,27.389845,11.145587,
3.84367,21.259651,9.892472,8.552507,17.22624,41.468037,
5.3821144,12.89016,5.38348,3.8633134,28.853168,20.425148,
14.5040655,31.400898,37.15174,3.3863232,12.553236,3.771519,
5.4071856,9.158986,14.494456,16.393435,3.9394102,1.4040956,
4.414425,15.418625,11.974066,0.24049032,11.069343,1.6615261,
9.84616,11.121576,11.391201,6.3418636,18.655989,4.132574,
0.7983973,46.817608,61.56745,6.4589663,7.7822685,21.02198,
5.8437877,14.608534,12.444052,1.603912,5.475799,12.98621,
6.637421,0.65879256,2.7706223,2.243069,4.907454,3.8137488,
3.600261,6.77099,75.42933,2.2961035,20.292044,2.768961,
17.038376,38.28152,5.6323533,3.0957422,2.1992753,1.061622,
8.297127,28.692074,25.030876,0.39418852,3.0311472,17.092594,
12.015434,7.334218,25.51223,0.19569024,1.0890582,4.6409073,
6.1869373,0.13096072,73.825096,2.5286043,36.50437,32.53326,
0.69472855,14.940084,16.641941,1.0844557,0.840592,3.6257243,
17.206875,11.382139,51.151802,8.704031,4.874444,1.8771304,
8.041013,12.931589,5.52401,3.6633499,9.776617,9.312895,
4.9731846,18.632305,4.35241,13.912963,2.9016223,13.011881,
5.6280327,41.75046,17.100513,4.8445187,18.135138,23.468658,
19.086712,16.083529,11.289198,0.17817204,1.0851377,10.134835,
2.6710591,3.3215394,15.955623,2.5265706,2.3029585,0.06267705,
